month,ac_current__427,ac_power__423,ac_voltage__426,ambient_temp__428,das_temp__433,dc_pos_current__425,dc_pos_voltage__424,dc_power__422,inverter_temp__432,module_temp_1__429,module_temp_2__430,module_temp_3__431,poa_irradiance__421,das_battery_voltage__434,energy
1,4.334296836859591,469.097224017777,122.25608428046861,5.08962499766859,7.262450150201084,2.3950721662878127,224.7262483184706,551.8845188854111,10.291672221309087,18.892945995978316,19.10120672914845,20.05871456012123,531.8819465757417,13.463214804452992,131.50264231098612
2,4.517735793814662,492.4549239767328,122.4872782070068,4.778760874073088,7.893166308112428,2.5465945046290126,223.46611133497626,581.1547179410883,10.943762144553972,20.08773913969184,19.753497248623507,21.24582968829093,588.6885559819724,13.451125777052528,145.4217174801111
3,4.506952408221798,492.939016781979,122.794618374761,10.177438814101338,14.780302111185467,2.573750720793499,221.0403408460803,582.3490671048758,19.48489500497132,24.623490080449333,24.980266934751434,26.444941000095604,568.3320432038719,13.311222595602294,169.19352103369445
4,4.0851304605429934,431.30910580475796,122.53277584673486,12.352067151327407,18.829602628991996,2.3146390159701307,217.67218207323833,516.6755089879139,24.26738257614491,25.34421224514172,25.88431964579565,27.322880867981116,509.4475334336855,13.22967309138249,167.00704134615276
5,3.5243155754054967,353.75278300591236,122.44244508732507,16.126900664833308,23.215826597331596,1.9504928308086846,211.9380123371622,426.80789914410695,27.73638034381674,27.23431980180752,27.969859843862093,29.293205582868122,442.2156427040265,13.153294600522797,143.76305518526388
6,3.6104218920995796,370.6115491574034,122.35235577284028,24.21946438915166,32.031931031086735,2.058994651129925,205.37060460294745,438.47396953067374,37.20152916738432,35.72559529172242,36.65915936952096,38.27368956149997,450.504081667837,13.016419876253693,137.88775868340278
7,3.6064516796996466,368.213103637449,122.19443777445075,26.504874027325112,34.36939021010161,2.138457771072543,201.46209185832248,445.31395653867855,39.612397822590246,38.39384953492033,39.33420178814785,39.78038900085607,455.14874669898995,12.983003977074238,161.1093945229861
8,3.7745481725224708,389.7598654761737,122.19052741123707,25.80802636722873,32.79272369110093,2.29574803571627,201.4520814562046,474.6203487494491,38.39702795972105,38.22470453712174,39.10563828203409,40.67330007443976,481.92858614028006,13.002359977334761,177.98811573513888
9,4.192708205089063,446.16761961775325,122.59073776461557,22.27633910317696,27.659148128020377,2.5514572465500094,207.70250584361207,541.0365597065546,32.88081415774002,36.224284743104384,37.160835796158345,38.85949547763394,543.7451320581308,12.916268674872207,172.27649239431946
10,4.507460367987789,488.1614009685348,123.26694350624216,14.77112978797543,17.857650002589544,2.669575198213669,216.79678461006924,590.6978647685766,21.390277109342346,29.257188987261262,29.015003157380654,31.27390463750931,568.8183833449182,12.87047207426993,180.5812985320972
11,4.533469443041665,492.7476490059298,122.96010912176762,9.411974167399872,11.381566553553487,2.596626614882418,222.21913694365338,589.9516829530037,14.49805552548691,23.925653639231772,24.470780685395074,25.449790945860816,565.1803317593282,13.075104642360696,145.26576009437179
12,4.373425101978798,475.6054326834742,122.2585769720771,4.854234607688442,6.852186549727083,2.428906075715605,224.98385433862805,558.9684879510152,10.041284707446499,19.037445292670384,19.500432740512174,20.22941879092301,537.6073700749208,13.473205921198732,122.61291185839742
